ticker,fold,mean_error,sd_error,rmse,mae
AAPL,Fold 1,0.003245875938574023,0.010197715163408424,0.010606131198269149,0.008562855984416222
AAPL,Fold 2,-0.0062220093849572645,0.013414057156180131,0.014667043161104409,0.010648482498256177
AMZN,Fold 1,1.410353058417158e-4,0.014981272282932572,0.014834340392957314,0.012045165977669883
AMZN,Fold 2,-8.890196276528801e-4,0.016809730382408527,0.01666783913166921,0.012211911387111786
BAC,Fold 1,6.719992990608023e-5,0.011798007226247444,0.011681961150900767,0.008995594685298902
BAC,Fold 2,-0.003764213678233358,0.015558851408064915,0.015858768461134466,0.012305423312827996
COIN,Fold 1,0.00644501301942165,0.050973692994138155,0.05088131455380366,0.03872003603230031
COIN,Fold 2,-0.003483339557895029,0.050624852039417585,0.050246958463974936,0.039613468934329446
GOOG,Fold 1,-0.0024295270297687134,0.01683848405022073,0.01684866896266331,0.01366080390299488
GOOG,Fold 2,-0.007224402422412994,0.01573216530874706,0.017170907209063967,0.012912219689800572
INTC,Fold 1,0.0013574032654008112,0.022741911826281866,0.02255872397682429,0.01889794105979374
INTC,Fold 2,-0.006672027374812154,0.026675720268695916,0.027242561858199125,0.02222535588250792
IWDA.AS,Fold 1,-0.00848004502057128,0.007586055785629857,0.011330206972495736,0.009550852804669704
IWDA.AS,Fold 2,-0.0026964974628964373,0.0108332492710615,0.011064179233648818,0.007726883946580105
JNJ,Fold 1,-0.004591430272974814,0.009163421304205872,0.010168730741403863,0.008493267947602464
JNJ,Fold 2,-9.235535891313366e-4,0.011595283658209544,0.011518127799723502,0.008800660831457354
JPM,Fold 1,0.0025262608805418944,0.015460283026290602,0.015515014396886165,0.012787343566133562
JPM,Fold 2,-0.011833804334859312,0.015584207894797707,0.019445934078894507,0.0144890703267069
META,Fold 1,-0.005348066900991876,0.013536377330432583,0.01443061041202386,0.011163439848000693
META,Fold 2,-0.00534148439211914,0.021393421201344194,0.021845728153317024,0.01619171893563971
MSFT,Fold 1,-0.007061665807191158,0.009908353925453323,0.012087910990800591,0.009994416875553025
MSFT,Fold 2,-0.011566693397920621,0.01298344009464834,0.017293143852123813,0.013605851253031253
NFLX,Fold 1,-0.001019430182085801,0.014809027548091727,0.014698516650989707,0.011204956461669063
NFLX,Fold 2,-0.01031613495474388,0.016380891517484654,0.019222247632350153,0.0146945237714196
NVDA,Fold 1,-0.027255329626690656,0.03270860274887461,0.042328810319256185,0.033072104983273495
NVDA,Fold 2,-0.004341016812604741,0.04214633156521991,0.04195626317394915,0.03355122634421134
PFE,Fold 1,-0.006248613259004577,0.014106236831958717,0.01530128754588616,0.012847781150368167
PFE,Fold 2,-0.00991471601622304,0.014989909091895851,0.017849177499018522,0.014570569713193982
QQQ,Fold 1,2.1716937060081265e-4,0.013343884512685518,0.013214199124579787,0.010274107162911215
QQQ,Fold 2,-0.00759636572591062,0.017109328972268578,0.01856593986594317,0.013808619022461785
SPY,Fold 1,0.006872880511395146,0.01380858587533397,0.015302769841900604,0.012755786313951094
SPY,Fold 2,-0.004581300606849653,0.011643785031269074,0.01240595253274961,0.008888854510648013
TSLA,Fold 1,-0.01629600997954202,0.030123297914839944,0.03398794794099526,0.027471662663420656
TSLA,Fold 2,-0.03271439583811084,0.03623168603741239,0.048551280773753466,0.03786895434158379
WMT,Fold 1,-0.00201372247065926,0.00939135876609477,0.009514375049083744,0.007340130508074109
WMT,Fold 2,-0.006405675208450224,0.008937868101655524,0.010924823980107934,0.009113232503800575
XOM,Fold 1,-0.004560426481866747,0.01318053784978343,0.013824531247593943,0.010457293021716108
XOM,Fold 2,-0.00218152839144272,0.012824731214204093,0.012884402265031996,0.0098591686433235
